Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),O/C(H),H/C(H),N/C(H),Ash(H),HHV(H),CR,ER,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,163.000 ,50.000 ,79.500 ,27.000 ,0.331 ,1.289 ,0.051 ,56.000 ,11.100 ,74.017 ,76.073 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,180.000 ,30.000 ,75.500 ,24.900 ,0.346 ,1.205 ,0.052 ,59.000 ,9.400 ,64.826 ,61.181 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,180.000 ,70.000 ,77.800 ,28.200 ,0.231 ,1.319 ,0.046 ,57.000 ,11.800 ,75.654 ,79.141 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,220.000 ,22.000 ,76.300 ,26.900 ,0.195 ,1.115 ,0.048 ,61.000 ,10.900 ,70.775 ,71.696 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,220.000 ,50.000 ,69.900 ,26.800 ,0.126 ,1.164 ,0.045 ,64.000 ,10.900 ,64.597 ,65.682 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,220.000 ,50.000 ,72.800 ,23.000 ,0.215 ,1.132 ,0.045 ,65.000 ,9.300 ,57.738 ,58.366 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,220.000 ,50.000 ,73.800 ,24.700 ,0.188 ,1.069 ,0.049 ,65.000 ,9.300 ,62.857 ,59.167 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,220.000 ,78.000 ,75.000 ,25.100 ,0.230 ,1.195 ,0.044 ,62.000 ,10.200 ,64.914 ,65.948 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,260.000 ,30.000 ,73.400 ,23.200 ,0.281 ,1.138 ,0.041 ,63.000 ,9.600 ,58.720 ,60.745 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,260.000 ,70.000 ,71.900 ,27.200 ,0.036 ,1.191 ,0.041 ,67.000 ,11.400 ,67.437 ,70.660 ,,,,,,
48.700 ,29.000 ,0.570 ,1.290 ,0.083 ,11.600 ,91.900 ,277.000 ,50.000 ,69.900 ,24.400 ,0.160 ,1.131 ,0.042 ,68.000 ,10.300 ,58.812 ,62.066 ,,,,,,
25.660 ,40.110 ,0.440 ,1.590 ,0.093 ,17.170 ,90.500 ,180.000 ,60.000 ,62.320 ,45.820 ,0.144 ,1.215 ,0.096 ,34.510 ,19.750 ,71.192 ,71.684 ,,,,,,
29.560 ,38.490 ,0.500 ,1.720 ,0.114 ,16.660 ,90.500 ,180.000 ,60.000 ,68.320 ,38.020 ,0.315 ,1.493 ,0.101 ,35.990 ,16.310 ,67.486 ,66.885 ,,,,,,
31.770 ,34.780 ,0.438 ,1.356 ,0.124 ,16.610 ,95.710 ,160.000 ,30.000 ,68.800 ,35.530 ,0.326 ,1.415 ,0.123 ,38.630 ,16.970 ,70.280 ,70.050 ,,,,,,
31.770 ,34.780 ,0.438 ,1.356 ,0.124 ,16.610 ,95.710 ,220.000 ,30.000 ,73.400 ,33.210 ,0.331 ,1.413 ,0.052 ,45.110 ,14.330 ,70.110 ,70.620 ,,,,,,
31.770 ,34.780 ,0.438 ,1.356 ,0.124 ,16.610 ,95.710 ,250.000 ,30.000 ,56.800 ,38.030 ,0.291 ,1.543 ,0.095 ,36.880 ,17.800 ,62.040 ,61.220 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,97.500 ,250.000 ,30.000 ,68.000 ,32.100 ,0.220 ,1.570 ,0.051 ,51.200 ,15.400 ,65.550 ,72.722 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,95.000 ,250.000 ,30.000 ,72.000 ,32.300 ,0.239 ,1.560 ,0.056 ,50.000 ,15.300 ,69.838 ,76.500 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,90.000 ,250.000 ,30.000 ,75.000 ,33.100 ,0.238 ,1.595 ,0.060 ,48.400 ,15.800 ,74.550 ,82.292 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,85.000 ,250.000 ,30.000 ,74.000 ,33.000 ,0.223 ,1.564 ,0.060 ,49.400 ,15.700 ,73.333 ,80.681 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,82.500 ,250.000 ,30.000 ,75.000 ,33.100 ,0.213 ,1.559 ,0.060 ,49.700 ,15.600 ,74.550 ,81.250 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,80.000 ,250.000 ,30.000 ,76.000 ,33.800 ,0.215 ,1.527 ,0.061 ,48.600 ,15.900 ,77.141 ,83.917 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,75.000 ,250.000 ,30.000 ,76.000 ,33.800 ,0.220 ,1.527 ,0.066 ,48.000 ,16.000 ,77.141 ,84.444 ,,,,,,
36.700 ,33.300 ,0.457 ,1.658 ,0.103 ,14.400 ,70.000 ,250.000 ,30.000 ,75.000 ,34.400 ,0.190 ,1.535 ,0.070 ,48.500 ,16.500 ,77.477 ,85.938 ,,,,,,
19.790 ,39.430 ,0.530 ,1.570 ,0.154 ,16.640 ,75.000 ,180.000 ,240.000 ,64.000 ,43.330 ,0.280 ,1.350 ,0.101 ,20.350 ,18.640 ,70.330 ,71.640 ,,,,,,
19.790 ,39.430 ,0.530 ,1.570 ,0.154 ,16.640 ,75.000 ,210.000 ,240.000 ,55.400 ,46.180 ,0.130 ,1.200 ,0.088 ,35.420 ,20.070 ,64.884 ,66.830 ,,,,,,
19.790 ,39.430 ,0.530 ,1.570 ,0.154 ,16.640 ,75.000 ,250.000 ,240.000 ,51.500 ,47.150 ,0.100 ,1.150 ,0.081 ,37.230 ,20.430 ,61.583 ,63.230 ,,,,,,
24.200 ,34.230 ,0.663 ,2.251 ,0.104 ,13.300 ,77.200 ,180.000 ,30.000 ,77.939 ,42.270 ,0.270 ,1.505 ,0.083 ,32.060 ,19.940 ,96.245 ,116.849 ,,,,,,
24.200 ,34.230 ,0.663 ,2.251 ,0.104 ,13.300 ,77.200 ,200.000 ,15.000 ,78.119 ,43.110 ,0.241 ,1.523 ,0.074 ,32.810 ,19.900 ,98.385 ,116.885 ,,,,,,
24.200 ,34.230 ,0.663 ,2.251 ,0.104 ,13.300 ,77.200 ,200.000 ,30.000 ,61.088 ,42.150 ,0.243 ,1.509 ,0.081 ,33.860 ,19.850 ,75.222 ,91.172 ,,,,,,
24.200 ,34.230 ,0.663 ,2.251 ,0.104 ,13.300 ,77.200 ,200.000 ,60.000 ,61.510 ,43.980 ,0.205 ,1.514 ,0.082 ,33.120 ,20.120 ,79.030 ,93.051 ,,,,,,
24.200 ,34.230 ,0.663 ,2.251 ,0.104 ,13.300 ,77.200 ,220.000 ,30.000 ,61.316 ,43.940 ,0.202 ,1.477 ,0.074 ,33.900 ,20.160 ,78.709 ,92.942 ,,,,,,
30.800 ,34.200 ,0.530 ,1.810 ,0.138 ,14.811 ,88.000 ,190.000 ,180.000 ,83.300 ,26.900 ,0.570 ,2.280 ,0.096 ,44.500 ,12.252 ,65.520 ,68.907 ,,,,,,
30.800 ,34.200 ,0.530 ,1.810 ,0.138 ,14.811 ,88.000 ,220.000 ,180.000 ,76.300 ,28.200 ,0.490 ,1.700 ,0.055 ,47.500 ,11.568 ,62.914 ,59.595 ,,,,,,
30.800 ,34.200 ,0.530 ,1.810 ,0.138 ,14.811 ,88.000 ,250.000 ,180.000 ,62.900 ,36.300 ,0.170 ,1.650 ,0.118 ,45.000 ,16.594 ,66.762 ,70.475 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,150.000 ,120.000 ,92.800 ,12.543 ,0.752 ,2.300 ,0.095 ,71.100 ,4.320 ,62.691 ,58.264 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,180.000 ,120.000 ,85.700 ,11.942 ,0.636 ,2.242 ,0.071 ,74.700 ,4.086 ,55.120 ,50.896 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,200.000 ,120.000 ,84.200 ,11.640 ,0.615 ,2.137 ,0.060 ,75.900 ,3.829 ,52.789 ,46.863 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,220.000 ,120.000 ,83.500 ,11.566 ,0.607 ,2.095 ,0.055 ,76.300 ,3.751 ,52.014 ,45.529 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,250.000 ,120.000 ,82.600 ,11.033 ,0.430 ,2.021 ,0.050 ,77.800 ,3.658 ,49.086 ,43.915 ,,,,,,
51.900 ,18.567 ,0.933 ,2.182 ,0.140 ,6.880 ,80.000 ,300.000 ,120.000 ,79.700 ,11.348 ,1.032 ,1.985 ,0.059 ,80.400 ,2.770 ,48.715 ,32.092 ,,,,,,
13.600 ,43.000 ,0.537 ,1.647 ,0.128 ,18.500 ,89.500 ,170.000 ,60.000 ,48.500 ,46.300 ,0.389 ,1.607 ,0.122 ,16.400 ,20.600 ,52.222 ,54.005 ,,,,,,
13.600 ,43.000 ,0.537 ,1.647 ,0.128 ,18.500 ,89.500 ,230.000 ,60.000 ,29.700 ,50.500 ,0.177 ,1.331 ,0.107 ,25.300 ,22.400 ,34.880 ,35.961 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.002 ,180.000 ,30.000 ,82.420 ,46.950 ,0.092 ,1.549 ,0.017 ,40.300 ,22.380 ,82.315 ,83.051 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,200.000 ,30.000 ,85.110 ,46.410 ,0.130 ,1.616 ,0.019 ,38.020 ,22.540 ,84.024 ,86.375 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,220.000 ,30.000 ,84.780 ,47.690 ,0.069 ,1.553 ,0.015 ,40.880 ,22.880 ,86.006 ,87.338 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,240.000 ,30.000 ,84.910 ,47.460 ,0.104 ,1.259 ,0.013 ,40.270 ,17.980 ,85.723 ,68.738 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,260.000 ,30.000 ,80.760 ,45.430 ,0.115 ,1.484 ,0.016 ,41.160 ,21.190 ,78.046 ,77.051 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,280.000 ,30.000 ,72.940 ,47.280 ,0.050 ,1.477 ,0.015 ,42.910 ,22.430 ,73.359 ,73.663 ,,,,,,
35.030 ,47.010 ,0.168 ,1.595 ,0.022 ,22.210 ,60.000 ,300.000 ,30.000 ,69.260 ,44.350 ,0.138 ,1.656 ,0.017 ,40.530 ,21.350 ,65.341 ,66.578 ,,,,,,
30.480 ,33.300 ,0.594 ,1.694 ,0.133 ,13.780 ,91.630 ,200.000 ,60.000 ,55.200 ,33.000 ,0.394 ,1.585 ,0.124 ,40.500 ,13.990 ,54.703 ,56.041 ,,,,,,
30.480 ,33.300 ,0.594 ,1.694 ,0.133 ,13.780 ,91.630 ,200.000 ,240.000 ,54.800 ,32.700 ,0.372 ,1.358 ,0.108 ,43.250 ,13.170 ,53.813 ,52.374 ,,,,,,
30.480 ,33.300 ,0.594 ,1.694 ,0.133 ,13.780 ,91.630 ,200.000 ,300.000 ,53.700 ,32.500 ,0.330 ,1.477 ,0.100 ,45.390 ,13.610 ,52.410 ,53.038 ,,,,,,
30.480 ,33.300 ,0.594 ,1.694 ,0.133 ,13.780 ,91.630 ,200.000 ,480.000 ,47.900 ,33.000 ,0.330 ,1.455 ,0.081 ,44.380 ,13.680 ,47.468 ,47.552 ,,,,,,
46.800 ,23.430 ,0.667 ,2.254 ,0.143 ,10.650 ,80.000 ,250.000 ,300.000 ,41.300 ,16.840 ,0.407 ,1.746 ,0.096 ,69.390 ,7.660 ,29.684 ,29.705 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,200.000 ,30.000 ,72.900 ,38.400 ,0.232 ,1.625 ,0.060 ,41.800 ,18.200 ,69.500 ,71.500 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,200.000 ,60.000 ,64.500 ,39.000 ,0.231 ,1.600 ,0.059 ,41.100 ,18.400 ,64.300 ,65.900 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,200.000 ,120.000 ,56.800 ,40.100 ,0.200 ,1.556 ,0.051 ,41.600 ,19.000 ,56.400 ,58.100 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,250.000 ,30.000 ,66.000 ,41.200 ,0.137 ,1.602 ,0.042 ,43.800 ,20.400 ,67.300 ,72.700 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,250.000 ,60.000 ,62.800 ,39.500 ,0.116 ,1.549 ,0.043 ,47.300 ,18.400 ,61.500 ,66.100 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,250.000 ,120.000 ,54.700 ,39.600 ,0.131 ,1.545 ,0.050 ,46.100 ,19.400 ,53.800 ,57.300 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,300.000 ,30.000 ,63.900 ,42.400 ,0.080 ,1.585 ,0.038 ,45.600 ,21.500 ,67.300 ,74.100 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,300.000 ,60.000 ,58.300 ,40.100 ,0.122 ,1.855 ,0.041 ,45.300 ,19.700 ,58.000 ,62.000 ,,,,,,
29.800 ,40.300 ,0.361 ,1.727 ,0.100 ,18.000 ,90.000 ,300.000 ,120.000 ,48.600 ,40.700 ,0.081 ,1.504 ,0.040 ,47.900 ,20.200 ,49.300 ,53.200 ,,,,,,
40.900 ,32.700 ,0.353 ,1.798 ,0.134 ,14.900 ,83.500 ,180.000 ,60.000 ,74.200 ,30.800 ,0.409 ,1.675 ,0.117 ,42.900 ,14.700 ,69.889 ,73.204 ,,,,,,
40.900 ,32.700 ,0.353 ,1.798 ,0.134 ,14.900 ,83.500 ,210.000 ,60.000 ,67.500 ,31.800 ,0.351 ,1.623 ,0.111 ,43.900 ,14.900 ,65.642 ,67.500 ,,,,,,
40.900 ,32.700 ,0.353 ,1.798 ,0.134 ,14.900 ,83.500 ,240.000 ,60.000 ,51.800 ,32.600 ,0.230 ,1.509 ,0.108 ,48.100 ,15.100 ,51.642 ,52.495 ,,,,,,
40.060 ,29.600 ,0.510 ,1.743 ,0.126 ,14.340 ,97.560 ,200.000 ,240.000 ,64.000 ,26.200 ,0.318 ,1.438 ,0.076 ,55.800 ,11.400 ,56.649 ,50.879 ,,,,,,
60.300 ,20.900 ,0.484 ,1.435 ,0.078 ,7.565 ,72.800 ,200.000 ,60.000 ,65.000 ,25.900 ,0.368 ,1.622 ,0.088 ,51.600 ,11.179 ,80.550 ,96.051 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,170.000 ,60.000 ,88.420 ,16.410 ,0.988 ,1.497 ,0.067 ,57.620 ,5.010 ,83.391 ,70.090 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,200.000 ,60.000 ,87.140 ,15.761 ,0.935 ,1.400 ,0.066 ,60.450 ,5.490 ,78.935 ,75.700 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,230.000 ,60.000 ,86.730 ,15.451 ,0.941 ,1.338 ,0.053 ,61.470 ,5.480 ,77.017 ,75.210 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,260.000 ,60.000 ,81.740 ,15.652 ,0.807 ,1.289 ,0.052 ,63.920 ,5.150 ,73.530 ,66.610 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,290.000 ,60.000 ,79.660 ,15.291 ,0.783 ,1.281 ,0.043 ,65.280 ,4.840 ,70.007 ,61.010 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,320.000 ,60.000 ,77.190 ,14.390 ,0.822 ,1.262 ,0.038 ,66.590 ,4.530 ,63.839 ,55.330 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,350.000 ,60.000 ,73.430 ,13.180 ,0.862 ,1.244 ,0.035 ,68.870 ,4.340 ,55.626 ,50.430 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,170.000 ,60.000 ,89.240 ,46.230 ,0.384 ,1.547 ,0.153 ,15.920 ,20.241 ,90.932 ,91.083 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,200.000 ,60.000 ,35.310 ,49.740 ,0.241 ,1.339 ,0.107 ,22.510 ,21.661 ,38.711 ,38.568 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,230.000 ,60.000 ,32.670 ,51.950 ,0.175 ,1.264 ,0.079 ,25.670 ,22.688 ,37.408 ,37.377 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,260.000 ,60.000 ,31.080 ,53.930 ,0.134 ,1.146 ,0.074 ,26.590 ,23.239 ,36.944 ,36.421 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,180.000 ,30.000 ,93.130 ,42.362 ,0.475 ,1.819 ,0.111 ,18.800 ,22.503 ,90.956 ,101.704 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,210.000 ,30.000 ,85.840 ,44.979 ,0.403 ,1.569 ,0.099 ,19.320 ,23.449 ,89.015 ,97.683 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,240.000 ,30.000 ,67.930 ,43.590 ,0.383 ,1.386 ,0.108 ,23.230 ,22.892 ,68.267 ,75.466 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,270.000 ,30.000 ,40.780 ,39.808 ,0.331 ,1.363 ,0.090 ,33.510 ,18.664 ,37.426 ,36.937 ,,,,,,
52.480 ,23.242 ,0.458 ,2.385 ,0.157 ,9.330 ,71.818 ,300.000 ,60.000 ,63.800 ,26.724 ,0.166 ,1.586 ,0.066 ,61.050 ,9.630 ,73.357 ,65.851 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,180.000 ,30.000 ,66.180 ,21.230 ,0.151 ,1.984 ,0.066 ,68.470 ,10.800 ,56.133 ,65.154 ,,,,,,
